gene,log2FC,pvalue,mean_cancer,mean_normal,FDR
UPF1,0.16441285767877467,0.009260545395180552,6.813628659167665,6.64921580148889,0.021175422610606738
UPF2,-0.08012334573905466,0.07796645010546527,7.931632093305388,8.011755439044443,0.14191506590398134
UPF3A,-0.476727496001196,2.4844716490953814e-13,9.585364524598802,10.062092020599998,2.457618302261233e-12
UPF3B,-0.11341168955835279,0.10238062012148992,7.323772315730538,7.4371840052888905,0.1792522641857736
UPK1A,-2.1772021972762476,2.090605362645224e-07,2.298826558790419,4.4760287560666665,9.580225827838713e-07
UPK1B,-2.754099622324418,1.9220032983480664e-10,4.388880217431137,7.142979839755555,1.2896022130851542e-09
UPK2,-0.03460925570685269,0.04710901503016428,2.374627420982036,2.409236676688889,0.09149866416724606
UPK3A,0.0011460764090482911,0.8097074624544434,2.169838090586826,2.1686920141777777,0.8747939735905516
UPK3B,-1.4336989325799072,1.2719446630445054e-11,5.000814029508981,6.434512962088888,9.990420147771467e-11
UPP1,0.18286587832761114,0.3839966193946308,8.617637457305388,8.434771578977777,0.519749328664763
UPP2,-0.013056580463339795,0.20288327716481808,2.393962677892216,2.4070192583555556,0.3164259973777122
UPRT,-0.7891981663276102,9.749816820496739e-20,6.293711569694611,7.082909736022221,2.1265568050806995e-18
UQCC1,0.14632658096074547,0.03373794323419254,6.7400568390718565,6.593730258111111,0.06814903692048427
UQCC2,-0.012761970170458659,0.22071022854557948,1.9157723685628745,1.9285343387333331,0.33877968798623764
UQCR10,-0.3310948938735887,8.811379722159433e-11,11.78656727790419,12.117662171777779,6.16904430976156e-10
UQCR11,-0.5725756322102491,1.7207059496094e-20,11.102825064011975,11.675400696222225,4.0924898260980326e-19
UQCRB,-0.23891422959547448,3.51547404796001e-05,12.60767406329341,12.846588292888885,0.00011988976929098975
UQCRC1,-0.4025240709820377,1.153638195854117e-06,10.444211533017963,10.846735604000001,4.810505179723382e-06
UQCRC2,-0.4687375919600818,1.7568541147546556e-17,11.263281766706585,11.732019358666667,2.836755267860728e-16
